province,province_th,district_th,district,subdistrict_th,subdistrict
Bangkok,????????,???????,Pathum Wan,????????,Rong Mueang
Bangkok,????????,???????,Pathum Wan,???????,Wang Mai
Bangkok,????????,?????????,Phasi Charoen,??????,Bang Chak
Bangkok,????????,?????????,Phasi Charoen,???????,Bang Duan
Bangkok,????????,?????????,Phasi Charoen,???????,Bang Wa
Bangkok,????????,?????????,Phasi Charoen,??????,Bang Waek
Bangkok,????????,?????????,Phasi Charoen,????????,Khlong Khwang
Bangkok,????????,?????????,Phasi Charoen,??????????,Khuha Sawan
Bangkok,????????,?????????,Phasi Charoen,????????????????,Pak Khlong Phasi Charoen
Bangkok,????????,?????,Phaya Thai,????????,Sam Sen Nai
Bangkok,????????,???????,Phra Khanong,??????,Bang Chak
Bangkok,????????,??????,Phra Nakhon,?????????,Ban Phan Thom
Bangkok,????????,??????,Phra Nakhon,??????????,Bang Khun Phrom
Bangkok,????????,??????,Phra Nakhon,????????,Bowon Niwet
Bangkok,????????,??????,Phra Nakhon,?????????,Chana Songkhram
Bangkok,????????,??????,Phra Nakhon,???????????????,Phra Borom Maha Ratchawang
Bangkok,????????,??????,Phra Nakhon,???????????,Samran Rat
Bangkok,????????,??????,Phra Nakhon,??????????????,San Chao Pho Suea
Bangkok,????????,??????,Phra Nakhon,?????????,Sao Chingcha
Bangkok,????????,??????,Phra Nakhon,???????,Talat Yot
Bangkok,????????,??????,Phra Nakhon,??????????????,Wang Burapha Phirom
Bangkok,????????,??????,Phra Nakhon,??????????,Wat Ratchabophit
Bangkok,????????,??????,Phra Nakhon,???????????,Wat Sam Phraya
Bangkok,????????,?????????????????,Pom Prap Sattru Phai,????????,Ban Bat
Bangkok,????????,?????????????????,Pom Prap Sattru Phai,??????????,Khlong Maha Nak
Bangkok,????????,?????????????????,Pom Prap Sattru Phai,????????,Pom Prap
Bangkok,????????,?????????????????,Pom Prap Sattru Phai,?????????,Wat Sommanat
Bangkok,????????,?????????????????,Pom Prap Sattru Phai,??????????????,Wat Thep Sirin
Bangkok,????????,??????,Prawet,??????,Dok Mai
Bangkok,????????,??????,Prawet,???????,Nong Bon
Bangkok,????????,??????,Prawet,??????,Prawet
Bangkok,????????,???????????,Rat Burana,????????,Bang Pa Kok
Bangkok,????????,???????????,Rat Burana,???????????,Rat Burana
Bangkok,????????,???????,Ratchathewi,????????,Makkasan
Bangkok,????????,???????,Ratchathewi,????????,Thanon Phaya Thai
Bangkok,????????,???????,Ratchathewi,???????????,Thanon Phetchaburi
Bangkok,????????,???????,Ratchathewi,?????????,Thung Phaya Thai
Bangkok,????????,??????,Sai Mai,???????,Khlong Thanon
Bangkok,????????,??????,Sai Mai,??????,O Ngoen
Bangkok,????????,??????,Sai Mai,??????,Sai Mai
Bangkok,????????,???????????,Samphanthawong,?????????,Chakkrawat
Bangkok,????????,???????????,Samphanthawong,???????????,Samphanthawong
Bangkok,????????,???????????,Samphanthawong,????????,Talat Noi
Bangkok,????????,????????,Saphan Sung,????????,Saphan Sung
Bangkok,????????,????,Sathon,??????????,Thung Maha Mek
Bangkok,????????,????,Sathon,??????????,Thung Wat Don
Bangkok,????????,????,Sathon,???????,Yan Nawa
Bangkok,????????,???????,Suan Luang,???????,Suan Luang
Bangkok,????????,????????,Taling Chan,????????????,Bang Chueak Nang
Bangkok,????????,????????,Taling Chan,??????,Bang Phrom
Bangkok,????????,????????,Taling Chan,????????,Bang Ramat
Bangkok,????????,????????,Taling Chan,??????,Chimphli
Bangkok,????????,????????,Taling Chan,??????????,Khlong Chak Phra
Bangkok,????????,????????,Taling Chan,????????,Taling Chan
Bangkok,????????,????????,Thawi Watthana,????????????,Sala Thammasop
Bangkok,????????,????????,Thawi Watthana,????????,Thawi Watthana
Bangkok,????????,??????,Thon Buri,??????????,Bang Yi Ruea
Bangkok,????????,??????,Thon Buri,??????,Bukkhalo
Bangkok,????????,??????,Thon Buri,????????,Dao Khanong
Bangkok,????????,??????,Thon Buri,?????????,Hiran Ruchi
Bangkok,????????,??????,Thon Buri,??????,Samre
Bangkok,????????,??????,Thon Buri,???????,Talat Phlu
Bangkok,????????,??????,Thon Buri,??????????,Wat Kanlaya
Bangkok,????????,???????,Thung Khru,?????,Bang Mot
Bangkok,????????,???????,Thung Khru,???????,Thung Khru
Bangkok,????????,??????????,Wang Thonglang,????????????????,Khlong Chao Khun Sing
Bangkok,????????,??????????,Wang Thonglang,???????,Phlapphla
Bangkok,????????,??????????,Wang Thonglang,????????,Saphan Song
Bangkok,????????,??????????,Wang Thonglang,??????????,Wang Thonglang
Bangkok,????????,?????,Watthana,????????????,Khlong Tan Nuea
Bangkok,????????,?????,Watthana,????????????,Khlong Toei Nuea
Bangkok,????????,?????,Watthana,????????????,Phra Khanong Nuea
Bangkok,????????,???????,Yan Nawa,?????????,Bang Phongphang
Bangkok,????????,???????,Yan Nawa,?????????,Chong Nonsi
Nonthaburi,???????,?????????,Bang Bua Thong,?????????,Bang Bua Thong
Nonthaburi,???????,?????????,Bang Bua Thong,????????,Bang Khu Rat
Nonthaburi,???????,?????????,Bang Bua Thong,???????????,Bang Rak Phatthana
Nonthaburi,???????,?????????,Bang Bua Thong,??????????,Bang Rak Yai
Nonthaburi,???????,?????????,Bang Bua Thong,?????,Lahan
Nonthaburi,???????,?????????,Bang Bua Thong,????,Lam Pho
Nonthaburi,???????,?????????,Bang Bua Thong,???????,Phimon Rat
Nonthaburi,???????,?????????,Bang Bua Thong,??????,Sano Loi
Nonthaburi,???????,???????,Bang Kruai,???????,Bang Khanun
Nonthaburi,???????,???????,Bang Kruai,??????????,Bang Khu Wiang
Nonthaburi,???????,???????,Bang Kruai,?????????,Bang Khun Kong
Nonthaburi,???????,???????,Bang Kruai,???????,Bang Kruai
Nonthaburi,???????,???????,Bang Kruai,????????,Bang Si Thong
Nonthaburi,???????,???????,Bang Kruai,??????????,Maha Sawat
Nonthaburi,???????,???????,Bang Kruai,???????,Plai Bang
Nonthaburi,???????,???????,Bang Kruai,????????,Sala Klang
Nonthaburi,???????,???????,Bang Kruai,??????,Wat Chalo
Nonthaburi,???????,???????,Bang Yai,????????,Ban Mai
Nonthaburi,???????,???????,Bang Yai,??????,Bang Len
Nonthaburi,???????,???????,Bang Yai,?????????,Bang Mae Nang
Nonthaburi,???????,???????,Bang Yai,???????,Bang Muang
Nonthaburi,???????,???????,Bang Yai,???????,Bang Yai
Nonthaburi,???????,???????,Bang Yai,????????,Sao Thong Hin
Nonthaburi,???????,????????????,Mueang Nonthaburi,??????,Bang Khen
Nonthaburi,???????,????????????,Mueang Nonthaburi,????????,Bang Krang
Nonthaburi,???????,????????????,Mueang Nonthaburi,????????,Bang Kraso
Nonthaburi,???????,????????????,Mueang Nonthaburi,??????,Bang Phai
Nonthaburi,???????,????????????,Mueang Nonthaburi,??????????,Bang Rak Noi
Nonthaburi,???????,????????????,Mueang Nonthaburi,???????????,Bang Si Mueang
Nonthaburi,???????,????????????,Mueang Nonthaburi,??????,Sai Ma
Nonthaburi,???????,????????????,Mueang Nonthaburi,???????,Suan Yai
Nonthaburi,???????,????????????,Mueang Nonthaburi,????????,Talat Khwan
Nonthaburi,???????,????????????,Mueang Nonthaburi,???????,Tha Sai
Nonthaburi,???????,????????,Pak Kret,????????,Ban Mai
Nonthaburi,???????,????????,Pak Kret,???????,Bang Phlap
Nonthaburi,???????,????????,Pak Kret,??????,Bang Phut
Nonthaburi,???????,????????,Pak Kret,???????,Bang Talat
Nonthaburi,???????,????????,Pak Kret,?????????,Bang Tanai
Nonthaburi,???????,????????,Pak Kret,????????,Khlong Khoi
Nonthaburi,???????,????????,Pak Kret,?????????,Khlong Kluea
Nonthaburi,???????,????????,Pak Kret,???????????,Khlong Phra Udom
Nonthaburi,???????,????????,Pak Kret,?????????,Ko Kret
Nonthaburi,???????,????????,Pak Kret,?????????,Om Kret
Nonthaburi,???????,????????,Pak Kret,????????,Pak Kret
Nonthaburi,???????,????????,Pak Kret,??????,Tha It
Nonthaburi,???????,???????,Sai Noi,????????,Khlong Khwang
Nonthaburi,???????,???????,Sai Noi,??????,Khun Si
Nonthaburi,???????,???????,Sai Noi,???????????,Nong Phrao Ngai
Nonthaburi,???????,???????,Sai Noi,??????????,Rat Niyom
Nonthaburi,???????,???????,Sai Noi,???????,Sai Noi
Nonthaburi,???????,???????,Sai Noi,???????,Sai Yai
Nonthaburi,???????,???????,Sai Noi,????????,Thawi Watthana
Pathum Thani,????????,????????,Khlong Luang,????????,Khlong Chet
Pathum Thani,????????,????????,Khlong Luang,???????,Khlong Ha
Pathum Thani,????????,????????,Khlong Luang,??????,Khlong Hok
Pathum Thani,????????,????????,Khlong Luang,?????????,Khlong Nueng
Pathum Thani,????????,????????,Khlong Luang,???????,Khlong Sam
Pathum Thani,????????,????????,Khlong Luang,???????,Khlong Si
Pathum Thani,????????,????????,Khlong Luang,???????,Khlong Song
Pathum Thani,????????,???????,Lam Luk Ka,??????????,Bueng Kham Phroi
Pathum Thani,????????,???????,Lam Luk Ka,???????,Bueng Kho Hai
Pathum Thani,????????,???????,Lam Luk Ka,??????????,Bueng Thong Lang
Pathum Thani,????????,???????,Lam Luk Ka,????,Khu Khot
Pathum Thani,????????,???????,Lam Luk Ka,???????,Lam Luk Ka
Pathum Thani,????????,???????,Lam Luk Ka,?????,Lam Sai
Pathum Thani,????????,???????,Lam Luk Ka,???????,Lat Sawai
Pathum Thani,????????,???????,Lam Luk Ka,???????,Phuet Udom
Pathum Thani,????????,???????????,Lat Lum Kaeo,???????,Bo Ngoen
Pathum Thani,????????,???????????,Lat Lum Kaeo,???????????,Khlong Phra Udom
Pathum Thani,????????,???????????,Lat Lum Kaeo,?????????,Khu Bang Luang
Pathum Thani,????????,???????????,Lat Lum Kaeo,??????,Khu Khwang
Pathum Thani,????????,???????????,Lat Lum Kaeo,???????????,Lat Lum Kaeo
Pathum Thani,????????,???????????,Lat Lum Kaeo,???????,Na Mai
Pathum Thani,????????,???????????,Lat Lum Kaeo,?????,Rahaeng
Pathum Thani,????????,?????????????,Mueang Pathum Thani,???????,Ban Chang
Pathum Thani,????????,?????????????,Mueang Pathum Thani,????????,Ban Klang
Pathum Thani,????????,?????????????,Mueang Pathum Thani,??????????,Ban Krachaeng
Pathum Thani,????????,?????????????,Mueang Pathum Thani,????????,Ban Mai
Pathum Thani,????????,?????????????,Mueang Pathum Thani,????????,Bang Duea
Pathum Thani,????????,?????????????,Mueang Pathum Thani,???????,Bang Kadi
Pathum Thani,????????,?????????????,Mueang Pathum Thani,????????,Bang Khayaeng
Pathum Thani,????????,?????????????,Mueang Pathum Thani,????????,Bang Khu Wat
Pathum Thani,????????,?????????????,Mueang Pathum Thani,???????,Bang Luang
Pathum Thani,????????,?????????????,Mueang Pathum Thani,??????,Bang Phun
Pathum Thani,????????,?????????????,Mueang Pathum Thani,??????,Bang Phut
Pathum Thani,????????,?????????????,Mueang Pathum Thani,???????,Bang Prok
Pathum Thani,????????,?????????????,Mueang Pathum Thani,??????,Lak Hok
Pathum Thani,????????,?????????????,Mueang Pathum Thani,??????????,Suan Phrik Thai
Pathum Thani,????????,????????,Nong Suea,?????,Bueng Ba
Pathum Thani,????????,????????,Nong Suea,??????,Bueng Bon
Pathum Thani,????????,????????,Nong Suea,????????,Bueng Cham O
Pathum Thani,????????,????????,Nong Suea,????????,Bueng Ka Sam
Pathum Thani,????????,????????,Nong Suea,??????????,Nong Sam Wang
Pathum Thani,????????,????????,Nong Suea,???????,Noppharat
Pathum Thani,????????,????????,Nong Suea,???????,Sala Khru
Pathum Thani,????????,??????,Sam Khok,????????,Ban Ngio
Pathum Thani,????????,??????,Sam Khok,????????,Ban Pathum
Pathum Thani,????????,??????,Sam Khok,?????????,Bang Krabue
Pathum Thani,????????,??????,Sam Khok,?????????????,Bang Pho Nuea
Pathum Thani,????????,??????,Sam Khok,??????,Bang Toei
Pathum Thani,????????,??????,Sam Khok,????????????,Chiang Rak Noi
Pathum Thani,????????,??????,Sam Khok,????????????,Chiang Rak Yai
Pathum Thani,????????,??????,Sam Khok,????????,Khlong Khwai
Pathum Thani,????????,??????,Sam Khok,??????,Krachaeng
Pathum Thani,????????,??????,Sam Khok,??????,Sam Khok
Pathum Thani,????????,??????,Sam Khok,????????,Thai Ko
Pathum Thani,????????,???????,Thanyaburi,???????????,Bueng Nam Rak
Pathum Thani,????????,???????,Thanyaburi,????????,Bueng Sanan
Pathum Thani,????????,???????,Thanyaburi,????????,Bueng Yitho
Pathum Thani,????????,???????,Thanyaburi,????????,Lam Phak Kut
Pathum Thani,????????,???????,Thanyaburi,????????????,Prachathipat
Pathum Thani,????????,???????,Thanyaburi,??????,Rangsit
Samut Prakan,???????????,??????,Bang Bo,?????????,Ban Rakat
Samut Prakan,???????????,??????,Bang Bo,??????,Bang Bo
Samut Prakan,???????????,??????,Bang Bo,??????????,Bang Phli Noi
Samut Prakan,???????????,??????,Bang Bo,?????????,Bang Phriang
Samut Prakan,???????????,??????,Bang Bo,????????,Khlong Dan
Samut Prakan,???????????,??????,Bang Bo,?????????????,Khlong Niyom Yattra
Samut Prakan,???????????,??????,Bang Bo,???????,Khlong Suan
Samut Prakan,???????????,??????,Bang Bo,?????,Preng
Samut Prakan,???????????,??????,Bang Phli,???????,Bang Chalong
Samut Prakan,???????????,??????,Bang Phli,???????,Bang Kaeo
Samut Prakan,???????????,??????,Bang Phli,??????????,Bang Phli Yai
Samut Prakan,???????????,??????,Bang Phli,??????,Bang Pla
Samut Prakan,???????????,??????,Bang Phli,????????,Nong Prue
Samut Prakan,???????????,??????,Bang Phli,????????,Racha Thewa
Samut Prakan,???????????,????????,Bang Sao Thong,????????,Bang Sao Thong
Samut Prakan,???????????,????????,Bang Sao Thong,??????????????,Sisa Chorakhe Noi
Samut Prakan,???????????,????????,Bang Sao Thong,??????????????,Sisa Chorakhe Yai
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,???????,Bang Duan
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,????????,Bang Mueang
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,????????????,Bang Mueang Mai
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,???????,Bang Prong
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,?????,Bang Pu
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,?????????,Bang Pu Mai
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,??????,Pak Nam
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,??????,Phraek Sa
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,??????????,Phraek Sa Mai
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,??????????,Samrong Nuea
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,????????,Thai Ban
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,????????????,Thai Ban Mai
Samut Prakan,???????????,????????????????,Mueang Samut Prakan,?????????,Thepharak
Samut Prakan,???????????,?????????,Phra Pradaeng,??????,Bang Chak
Samut Prakan,???????????,?????????,Phra Pradaeng,??????????,Bang Hua Suea
Samut Prakan,???????????,?????????,Phra Pradaeng,?????????,Bang Kachao
Samut Prakan,???????????,?????????,Phra Pradaeng,??????,Bang Khru
Samut Prakan,???????????,?????????,Phra Pradaeng,????????,Bang Ko Bua
Samut Prakan,???????????,?????????,Phra Pradaeng,?????????,Bang Krasop
Samut Prakan,???????????,?????????,Phra Pradaeng,??????????,Bang Nam Phueng
Samut Prakan,???????????,?????????,Phra Pradaeng,???????,Bang Phueng
Samut Prakan,???????????,?????????,Phra Pradaeng,???????????,Bang Ya Phraek
Samut Prakan,???????????,?????????,Phra Pradaeng,?????,Bang Yo
Samut Prakan,???????????,?????????,Phra Pradaeng,?????,Samrong
Samut Prakan,???????????,?????????,Phra Pradaeng,?????????,Samrong Klang
Samut Prakan,???????????,?????????,Phra Pradaeng,????????,Samrong Tai
Samut Prakan,???????????,?????????,Phra Pradaeng,???????,Song Khanong
Samut Prakan,???????????,?????????,Phra Pradaeng,????,Talat
Samut Prakan,???????????,??????????????,Phra Samut Chedi,???????????,Ban Khlong Suan
Samut Prakan,???????????,??????????????,Phra Samut Chedi,??????????,Laem Fa Pha
Samut Prakan,???????????,??????????????,Phra Samut Chedi,???????,Na Kluea
Samut Prakan,???????????,??????????????,Phra Samut Chedi,??????????????,Nai Khlong Bang Pla Kot
Samut Prakan,???????????,??????????????,Phra Samut Chedi,???????????????,Pak Khlong Bang Pla Kot
Bangkok,????????,???????,Phra Khanong,??????????,Phra Khanong Tai
Bangkok,????????,??????,Bang Bon,???????????,Bang Bon Nuea
Bangkok,????????,??????,Bang Bon,??????????,Khlong Bang Bon
Bangkok,????????,??????,Bang Bon,?????????,Bang Bon Tai
Bangkok,????????,?????,Bang Na,??????????,Bang Na Nuea
Bangkok,????????,?????,Bang Na,????????,Bang Na Tai
Bangkok,????????,????????,Saphan Sung,???????,Thap Chang
Bangkok,????????,????????,Saphan Sung,???????????,Rat Phatthana
